posted_date,model,inch,release_year,chip,ram,storage,price,title,description,release_price
2026-03-18,macbookair,13,2026,m5,16gb,512gb,1620000,(미개봉) 신형 애플 맥북 에어 13 M5 칩 16GB/512GB 실버,"애플 맥북 에어 13 M5 칩 실버 색상 판매합니다

- M5 칩 10코어
- 16GB RAM
- 512GB 저장 공간
- MAC OS
- AppleCare+ 2026년 3월까지

미개봉 배송온 상태 그대로 판매합니다
오늘 출시한거에요",1590000
2026-03-18,macbookair,13,2026,m5,16gb,512gb,1540000,(미개봉) 맥북 에어 13인치 M5 16/512 실버 영문자판,"미개봉 제품입니다.
택배 거래시 우체국 안심택배로 보내드립니다.",1590000
2026-03-18,macbookair,13,2025,m4,16gb,512gb,1400000,M4 맥북에어 13인치 스카이 블루 512기가 ssd 16기가 램 + 애플케어플러스,"M4 맥북에어 13인치 스카이 블루 모델입니다.

2025년 5월 9일에 구매했고 사용 빈도 수가 매우 적습니다. 배터리 사이클 18에 키보드와 트랙패드도 거의 닳지 않은 신상품급입니다.

애플케어플러스는 28년 7월 1일까지입니다.

박스 및 구성품 다 있습니다. 가격은 140만원입니다.

직거래는 경기 양평에서 가능합니다.",1860000
2026-03-18,macbookpro,14,2021,m1pro,16gb,512gb,1005000,[A급]맥북 프로 14 M1 Pro 스페이스그레이,"- 맥북프로 m1 14인치 (16g, 512gb)
- M1 pro, 스페이스그레이
- 구매시기 2022년 5월
- 배터리 효율 85% 사이클 208(소폭 상승될 수 있음)

사진에서 보시듯이 사무실에서만 사용해서 깨끗하며 기변으로 인해 판매합니다.
정품 충전기, 정품 맥세이프 케이블, 정품 박스 등 구성품 같이 드립니다.
택배거래 또는 직거래(대구대학교) 가능하며, 직거래 시 5천원 빼드립니다.
네고 문의는 정중히 사양하며 답장하지 않습니다.",2690000
2026-03-18,macbookair,13,2022,m2,16gb,256gb,870000,맥북 에어 M2 미드나이트 램16 SSD256,"애플 맥북 에어 M2 2022년형 미드나이트 색상입니다
- 사이클 수 200회, 배터리 성능 최대치 97%
- 얇고 가벼워서 휴대성이 좋습니다
상태는 사진과 같습니다
트랙패드 좌측에 살짝 기스나있는데, 전체샷으로 봤을 때 이질감 없습니다
RAM 16GB / SSD 256GB 
박스 필요하시면 같이 드립니다. 게임 1도 안돌렸습니다.
구미역 직거래 가능합니다.",1960000
2026-03-18,macbookair,13,2020,m1,8gb,256gb,700000,"맥북에어m1(배터리성능99%,사이클수27)","제조년월: oct-2021 배터리성능:99% 사이클 수:27 색상:실버  램:16 , ssd:256  대학교 다닐 때 과제,강의용으로만 사용했습니다 상태 s급이며 보물같이 사용했습니다 네고,찔러보기는 답장 따로 안하겠습니다 안팔리면 천천히 가격 내리겠습니다",1290000
2026-03-17,macbookpro,14,2021,m1max,32gb,1tb,1700000,"Macbook Pro 14인치 M1 Max 32G 1TB (CPU 10코어, GPU 32코어)","• 상품 : Apple M1 Max (애플코리아)
• CPU : 10 코어 (8 성능 및 2 효율)
• GPU : 32 코어
• RAM : 32GB 통합메모리 (대역폭 400GB/s)
• SSD : 1TB
• 배터리 사이클 : 133 (배터리 최대성능 89%)
• 기타 :
 - 외관 찍힘 없음, 디스플레이 찍힘 없음, 첨부 사진을 보시면 아시겠지만 A급으로 관리 했습니다. (케이스 장착하여 사용했습니다. 원하시면 외관 케이스 드리겠습니다.)
 - 96W 충전기를 결국 못찾아서, 미개봉 새상품으로 함께 드립니다. (나머지는 박스 풀셋 입니다)
 - M5 시리즈 기변을 위해 판매 합니다.

직거래 희망하는 경우 👉 동작동, 서초동 가능 하고, (물건은 집에 두고 다니기 때문에 미리 말씀해 주세요)
택배 희망하는 경우 👉 금액이 있다보니 안심결제 원하고, 택배비는 제가 부담하겠습니다.

가격은 170 만원 정도 생각하고 있습니다.",3630000
2026-03-17,macbookpro,14,2025,m5,32gb,2tb,3050000,맥북 프로 14 M5 32GB 2TB,"맥북 프로 판매합니다

- Apple M5 칩
- 32GB 메모리
- 저장 공간: 총 2TB (초기화 완료)
- Liquid Retina XDR 디스플레이
- 배터리 사이클 3회, 성능 최대치 100%

올해 1월에 구매했습니다 상태는 거의 새거입니다 사용하질 않아 판매합니다
애플케어플러스 가입기간은 지나서 저렴하게 팝니다
풀박스이며 네고 사절합니다",3940000
2026-03-17,macbookpro,14,2025,m5,16gb,512gb,1850000,맥북 프로 m5 14인치 실버 영문자판,"맥북 프로 m5 실버 영문자판 입니다
16기가 512기가고
사이클은 15 입니다

케이블 사용 안해서 새거구요
제품 보호 비닐, 박스, 포장박스까지 다 가지고있어요
제품 애지중지 하던거라 상태 새거와 같습니다

구매는 올해 2월 7일쯤 구매했어요 한달조금 됐습니다!
구매한지 60일 안돼서
필요하시면 애케플 구매하셔서 바로 적용하시면 됩니다",2590000
2026-03-17,macbookair,13,2026,m5,16gb,1tb,1870000,"[미개봉] 맥북에어 M5 13인치 1TB SSD, 16GB RAM (스카이블루)","M5 맥북에어 13인치 스카이블루 색상 판매합니다. 
3/12(목) 배송받았습니다.
박스 겉면도 뜯지 않은 완전 미개봉 새 제품입니다.

- 칩셋 : Apple M5 (10코어 CPU, 10코어 GPU, 16코어 Neural Engine)
- 램(메모리) : 16GB
- 용량 : SSD 1TB 
- 70W 고속충전기 

❗️기본형 용량인 512GB는 GPU가 8코어입니다❗️

1TB 고용량 필요하신 대학생/직장인/편집자분들께 추천드립니다.

필요시 애케플도 60일이내 가입하시면 됩니다. 
(근데 보통은 애케플 없이 1년 안되게 사용하시다가 직접 오프라인 매장 방문해서 애케플 가입하시더라구요)

서울에서 무조건 직거래만 합니다.",1860000
2026-03-17,macbookair,15,2025,m4,24gb,512gb,1800000,맥북에어 15인치 M4 (램 24GB/SSD 512GB) 미개봉 새제품,"맥북에어 15인치 M4 (램 24GB/SSD 512GB) 미개봉 새제품
색상: 스카이블루

거래처 선물로 받은 제품인데
사용 계획이 없어 판매합니다.
2026년 3월 구매, 미개봉 새 제품입니다.

- 주요 스펙
모니터: 15인치 Liquid Retina 디스플레이
칩: M4 (10코어 CPU / 10코어 GPU)
메모리: 24GB
저장장치: 512GB
색상: 스카이블루

사진 첨부하고
직거래나 택배 거래, 안전거래 모두 가능합니다.
(직거래 지역: 서울 용산역 부근)
택배 거래 시 안전하게 포장 가능합니다.

o1o
사삼구오
O123 << 연락 주세요.",2430000
2026-03-17,macbookair,15,2025,m4,16gb,256gb,1460000,급처) 맥북에어 15인치 M4 16 512 스카이블루,"배터리사이클16 
애플로고에 사진으로 안찍히는 생활기스 작게 있고 그 외 외관 이상 전혀 없습니다
박스 충전케이블 있습니다
네고는 안받아요",1890000
2026-03-17,macbookair,15,2025,m4,16gb,256gb,1400000,맥북에어 15 M4 16램/512ssd 애플케어 26년11월 처분합니다,"맥북에어 15 M4 16램/512ssd 애플케어 26년11월 처분합니다

- 16GB 램 / 512ssd 박스풀
- AppleCare 2026년 11월 2일까지 보증됩니다

상태는 아주 좋습니다. 판매 합니다
네고 문의는 차단 입니다

직거래로 남양주 화도읍, 강남역 4번출구쪽에서만 합니다",1890000
2026-03-17,macbookair,15,2025,m4,16gb,256gb,1250000,APPLE 맥북에어15 M4 스카이블루,"모델명
맥북에어15 M4 2025 16G 256G

컬러
스카이

램 용량
16GB

SSD용량
256GB

CPU종류
M4

운영체제
MacOS

배터리효율
100%
맥북에어15 M4 2025 16G, 256G 입니다

상태는 거의 사용안한 민트급입니다 


보증기간은 2026.08.19 입니다
배터리효율 100% 에 사이클 6회로 최상입니다


직거래는 제주도, 타지역은 택배거래 입니다

구성품은 노트북 + 충전기 완전풀박 입니다",1890000
2026-03-17,macbookair,15,2025,m4,16gb,256gb,1200000,맥북 에어 m4 15인치 판매합니다,"맥북에어 M4 15인치 스카이블루 색상 모델 판매합니다.
대화면과 성능이 마음에 들어 사용했으나, 사용 환경 변경으로 판매합니다.

✔ M4 칩 / 15인치 대화면
✔ 스카이블루 색상
✔ 램 16GB / 저장공간 256GB
✔ 배터리 상태 100% / 사이클 수 19
✔ 전체 기능 정상 작동

⚠ 우측 상단에 흠집 1곳 있습니다.
사용에는 전혀 문제 없으며,
외관에 크게 민감하지 않으신 분께는 가성비 좋게 사용하실 수 있습니다.
원하시면 흠집 부분은 사진으로 자세히 보내드리겠습니다.

성능은 문서 작업, 웹서핑, 영상 시청은 물론
사진·영상 편집, 멀티태스킹도 쾌적합니다.
특히 15인치 대화면이라 작업용으로 만족도가 높습니다.

📦 구성품: 본체 + 충전기 + 박스
📍 직거래 우선 (서울 지하철 1호선 외대앞역, 회기역)
💬 궁금하신 점이나 상태 관련 문의는 편하게 주세요",1890000
2026-03-17,macbookair,13,2022,m2,24gb,512gb,1150000,(쿨거래 네고 가능)맥북에어 13 M2 24GB/512GB 팝니다,"맥북 에어 13인치 M2 RAM 24GB, SSD 512GB
미드나이트
RAM 추가옵션 54만원
SSD 추가옵션 27만원
정가 240만원 구성

RAM값 폭등으로 24GB 구성 가성비 최고

SSD 512GB : 256GB 기본 모델과 달리 듀얼 낸드 칩 구성으로, 데이터 읽기/쓰기 속도가 훨씬 빨라 작업 효율이 극대화

필름, 실리콘키스킨 모두 부착
67W 고속충전기(기본은 30W), 맥세이프 케이블

배터리 효율 91퍼
미세찍힘 1곳 있으나 티안남
박스 없음

쿨거래시 네고가능",2500000
2026-03-17,macbookpro,14,2021,m1pro,32gb,512gb,1100000,맥북 프로 14인치 실버,"상품
애플 맥북 프로 
Apple M1 Pro(10코어 CPU, 14코어 GPU, 16코어 Neural Engine)
32GB 통합 메모리
512GB SSD 저장 장치
96W USB-C 전원 어댑터
14형 Liquid Retina XDR 디스플레이
Thunderbolt 4 포트 3개, HDMI 포트, SDXC 카드 슬롯, MagSafe 3 포트
백라이트 Magic Keyboard(Touch ID 탑재) - 영어(미국)
액세서리 키트

구매일자 : 2021년 11월 12일

하자 여부 : 기기 결함 없음. 배터리 성능 99% 

비고 : 거의 이동 없이 사용함. 생활 기스는 있을 수 있음.",3230000
2026-03-17,macbookpro,14,2023,m2pro,16gb,512gb,1070000,맥북에어 M2 16램 512기가 실버(애케플o),"애플 맥북 에어 14인치 M2칩 모델입니다

- 칩: Apple M2 Air
- 메모리: 16GB
- 저장 공간: 512GB

✨AppleCare+ 2026년 7월 20일 까지

박스, 충전기 다 있습니다

집에서만 사용해서 외관 깨끗합니다",2990000
2026-03-17,macbookpro,16,2021,m1pro,16gb,512gb,1050000,맥북 프로 M1 Pro 16인치,"맥북 프로 M1 PRO 16인치 판매합니다.

램 16GB, SSD 512GB 모델입니다.

외부에 찍힘, 사용감 있습니다. 액정은 깨끗합니다.

박스는 없고 본체와 정품 140W 충전기, 맥세이프 케이블, 16인치 파우치 있습니다.

배터리 상태는 87퍼센트입니다 .",3390000
2026-03-17,macbookair,13,2022,m2,16gb,256gb,999000,맥북 에어 M2 16GB 미드나이트 배터리 효율 100%,"애플 맥북 에어 M2 2022년 모델 판매합니다
작년말 구매했습니다

- 칩: Apple M2
- 메모리: 16GB
- SSD : 256GB
- 디스플레이 : 13인치
- 색상: 미드나이트

배터리 성능 최대치는 100%입니다 1.24kg의 가벼운 무게와 1.13cm의 얇은 두께로 휴대성이 좋습니다 얇고 가벼워서 어디든 들고 다니기 편해요
케이스 끼고 써서 기스나 찍힘 전혀 없습니다
충전기 정품 그대로 드려요",1960000
2026-03-17,macbookair,13,2024,m3,16gb,256gb,900000,맥북에어 m3 13인치(16/256),"1. 모델 : 맥북에어13인치 m3 (16G/256) 실버 2024

2. 구매일 : 출시 직후

3. 사양 및 구성품
- 제품 박스
- 전원어댑터
- 본체 (13인치, 실버, m3, 램16기가, HDD 256기가)

4. 상태
- 외관 기스 없음 (생활기스도 없어요)
- 배터리 사이클 7회

5. 판매가격
- 95만원

5. 거래
- 직거래 가능 (직거래 선호)
- 선입금 택배도 가능 (편의점 택배 상시, 오전 우체국 사전 접수 발송 가능), 택배비 4,500원
- 직거래 시 4호선 인덕원역 10분거리에서 가능합니다 (시간은 언제든 가능합니다)
- 금일 12시전 사당역에서 거래 가능합니다.
- 안심결제는 하지 않습니다",1860000
2026-03-17,macbookpro,13,2020,m1,16gb,512gb,730000,맥북 프로 M1 MACBOOK PRO 13,"M1 맥북 프로 13입니다.
사용감은 있습니다.
네고 가능합니다.
풀박스입니다.

- 프로세서 : Apple M1
- 메모리 : 16GB (8core)
- 저장공간 : 512GB
- 전원 사이클 : 330
- 박스. 충전기, 케이블 포함입니다.

직거래 장소:
서울 구로구 디지털로 272 한신아이티타워
경기 군포시 금산로 91 래미안하이어스",2230000
2026-03-17,macbookair,13,2020,m1,8gb,256gb,499000,맥북 에어 M1 13인치 (8G / 256GB / 스페이스그레이),"[판매] 맥북 에어 M1 13인치 (8G / 256GB / 스페이스그레이)
1. 제품 상세 사양
모델명: MacBook Air 13 (M1, 2020) / A2337
프로세서: Apple M1 칩 (8코어 CPU / 7코어 GPU)
메모리: 8GB 통합 메모리
저장장치: 256GB SSD
색상: [ 실버 ]
키보드: 한글/영문 각인
2. 기기 상태 (핵심 정보)
배터리 효율: [92%]
사이클 수: [105회]
수리 내역: 없음 (침수나 사설 수리 이력 일절 없습니다.)
3. 구성품
맥북 본체
[정품 충전기 및 케이블 포함 ] - 사진 참고
4. 판매 가격 및 거래 방법
판매 가격: 50만원 - 에눌 문의 ×
거래 장소: 양재동 직거래 선호합니다.
택배 거래: [가능] 직거래 선호하고 택배는 선입금 후배송 / 파손 면책 동의후 진행 가능합니다.
[판매자 한마디]
실사용량이 많지 않아 배터리 짱짱하고 성능 여전히 빠릿합니다. 영상 시청이나 문서 작업용으로 이만한 가성비 모델이 없다고 생각합니다. 초기화(나의 찾기 해제 완료) 상태로 바로 사용하실 수 있게 드립니다
다만 앞에 찍힘 있어 저렴하게 판매합니다.",1290000
2026-03-16,macbookair,15,2026,m5,16gb,512gb,1840000,(미개봉) 맥북 에어 15인치 M5 16/512 실버 영문자판,"512GB SSD 저장 장치
70W USB-C 전원 어댑터
백라이트 Magic Keyboard(Touch ID 탑재) -영어 (미국)
16GB 통합 메모리
10코어 CPU, 10코어 GPU, 16코어 Neural Engine
액세서리 키트

미개봉 제품입니다.
택배 거래시 우체국 안심택배로 보내드립니다.",1790000
2026-03-16,macbookair,15,2026,m5,16gb,512gb,1800000,(미개봉)맥북 에어 15인치 M5 미드나이트 512GB 16GB,"Apple 맥북 에어 15인치 M5칩 모델입니다

- 색상: 미드나이트
- 저장 공간: 512GB
- RAM: 16GB

미개봉 새상품 입니다.",1790000
2026-03-16,macbookpro,14,2024,m3pro,18gb,512gb,1700000,맥북 프로 14인치 m3 pro 18기가 512,"사용은 거의 안했습니다
배터리도 초기화전에 100프로 확인했고 큰 사용감 없습니다. 밑 모서리에 케이스 빼다가 살짝 기스난거 확인해주세요
24년10월경 구매했습니다.
구성품은 풀박스 구성입니다

경남 창원 직거래 타지역 택배거래
전자제품 택배거래경험 많습니다. 안심하고 연락주세요",2790000
2026-03-16,macbookair,13,2026,m5,16gb,512gb,1550000,맥북에어m5 13인치 영문자판 cto 미개봉,"맥북에어 m5 13인치 실버 미개봉 제품입니다.
상세 사양표 첨부하였고 영문자판 cto 추가하여 기존 한글자판보다 깔끔합니다! 

직거래는 1호선 대방역 가능합니다",1590000
2026-03-16,macbookair,13,2025,m4,16gb,256gb,1400000,[미개봉] 맥북 에어 13 M4 / 16GB/256GB 스타라이트 판매합니다~,"맥북 에어 13 M4 미개봉 새 제품 판매합니다. 
색상 : 스타라이트(골드색)
RAM : 16GB
용량 : 256GB

이번주에 구매했는데, 
제가 사용해야할 프로그램이 윈도우에서 호환성이 좋다고해서 
사용을 안할 것 같아 판매합니다.

원하시는 금액 있으면 조율해봐요 편하게 말씀해주세요~!

경기권,충남권 직거래 선호합니다.",1590000
2026-03-16,macbookair,15,2025,m4,16gb,256gb,1350000,맥북에어 15인치 M4 (스카이블루),"애플 맥북 에어 15인치 M4 모델 판매합니다 (스카이블루)

- 16GB RAM
- 256GB 저장 공간
-사이클 수 : 15 (판매 되는 기간에 따라 늘어날수 있습니다)
-배터리 성능 : 100%
-제한보증 : 26년 10월 5일

구매하자마자 내부.외부필름(스코코) 부착했습니다. 액정보호필름은 안붙힘
키보드 번들거림 방지 차원으로 키보드 필름까지 부착(키스킨 아닙니다)

집에서만 사용....배터리 관리앱으로 80%까지만 충전

찍힘.기스 하나도 없는 100% 새거 같은 컨디션 입니다. (액정도 마찬가지)
충전기.케이블..박스...외부 포장박스까지 

스코코 필름 (앞면만 사용) 여분도 드립니다.
베이지색 파우치도 드립니다
맥북 거치대도 드립니다.

구매자분 나타나면...초기화 하겠습니다",1890000
2026-03-16,macbookair,13,2025,m4,24gb,256gb,1300000,맥북에어 13 M4 24g / 256 배터리 100%,"M4 칩이 탑재된 미드나이트 색상 노트북입니다. 24GB RAM에 256GB 저장 공간을 가지고 있습니다. 고성능 작업도 문제없이 소화 가능한 모델입니다. 문의 없으시면 바로 안전결제해주시면 됩니다!

풀박스입니다
배터리 100%이고
아직 보증남아 있고 
아시겠지만 1년 이내에 특별한 문제 없으면 매장 확인 후 애플케어 연장도 가능합니다",1860000
2026-03-16,macbookair,13,2025,m4,16gb,256gb,1250000,애플 맥북에어 M4 칩셋 16GB/256GB,"구매한지 한달된 

애플 맥북 에어 13인치 M4 칩 256GB 모델 판매합니다

- 16GB RAM, 256GB 저장 공간
- 1.24kg의 가벼운 무게와 얇은 디자인으로 휴대성이 뛰어납니다
-배터리 1회충전. 사용횟수 단순 검색 5회수준

-저한데는 맥북이 어려워서 판매합니다.

택포발송해드립니다.",1590000
2026-03-16,macbookpro,14,2021,m1pro,16gb,512gb,1250000,맥북 프로 M1 Pro 14인치,"애플 맥북 프로 14인치 M1 Pro 칩 모델 판매 합니다.
색상은 스페이스 그레이 입니다
박스 풀세트이고 상태는 좋습니다.

- 14인치 Liquid Retina XDR 디스플레이로 선명하고 몰입감 넘치는 화면을 제공합니다
- M1 Pro 칩은 뛰어난 성능과 효윬성을 제공하여 전문가 수준의 작업도 원활하게 처리 할수 있습니다.
- 16GB 통합 메모리는 여러 작업을 동시에 처리할때도 빠른 성능을 유지합니다.

----

공식 서비스센터를 통해 전체 올 수리 마친 맥북입니다.
수리후 실 사용하지 않아 상태는 사실상 새제품과 다름 없습니다.

- 베터리 상태 : 사이클 0회 / 성능 최대치 100%
- 외관 및 성능 : 전체 수리 완료하여 기능 결함 전혀 없으며 깨끗 합니다.

대학생 시절 전공 특성상 잘 맞아 사용하였습니다.
현재는 엔지니어로 근무하여 더이상 사용할 일이 없어 수리후 판매합니다.

단, 충전기 및 케이블은 3년간 사용하였기에 사용감이 많습니다.",2690000
2026-03-16,macbookair,13,2024,m3,16gb,512gb,1100000,애플 맥북 에어 M3 16gb 512 gb 13인치 스페이스 그레이,"- 모델 : 애플 맥북 에어 M3 13인치
- 메모리 : 16gb
- 저장장치 : 512 gb
- 색상 : 스페이스 그레이
- 구매시기 : 24년 4분기

메인 컴퓨터가 아니어서 사용 빈도가 아주 낮았습니다. 자세히 찾아보면 생활 기스가 완전히 없다고는 할 수 없지만 상태 아주 좋습니다. 다만, 박스가 없네요. 대구 지역 직거래 선호하시만, 택배도 가능합니다.",2130000
2026-03-16,macbookpro,16,2021,m1pro,16gb,512gb,650000,맥북 M1 프로 16/256 배터리 97%,"M1 칩이 탑재된 맥북 프로 13인치 판매합니다. 램은 16기가, 저장 공간은 256기가입니다. 배터리 성능은 97%이며, 외관은 파란색 케이스를 씌워놔서 기스 하나 없이 깨끗합니다. 

박스 없고 화면에 아주 미세한 긁힘이 있는데 사용 상 문제없고 보기에도 문제 없습니다.",3390000
2026-03-16,macbookair,13,2020,m1,8gb,256gb,580000,M1 맥북에어 13인치 기본형 / 배터리효율 87%,"Apple M1 칩 탑재 13형 MacBook Air 입니다.

애플 근본 색상인 실버
8GB 통합메모리
256GB SSD

외관 찍힘은 사진/영상에서 보시는 것처럼 딱 두군데 미세하게 있어요. (제품에 충격 x)

- 애플ID 로그아웃 및 나의찾기 해지 완료
- MacOS 타호 업그레이드 후 초기화 완료
- 배터리 성능최대치 87%로 준수한 성능
구매 후 새제품 처럼 설정하시고 사용하시면 되겠습니다

M1.. 정말 명기입니다.
간단 사진/영상편집, 문서작업, 유튜브, 넷플릭스 하는 데에는 아직도 현역같은 제품입니다.
이 제품과 같이 성장했고, 더 하이엔드로 가기위해 판매합니다.

GS25동빙고점 앞에서 직거래 가능합니다.",1290000
2026-03-16,macbookair,13,2020,m1,8gb,256gb,550000,맥북 에어 M1 13인치 8GB/256GB 팝니다,"M1 칩셋 맥북으로 8GB 메모리와 256GB 저장용량을 갖춘 모델입니다. 전체적으로 깔끔한 상태이며 정상 작동합니다. 실사용감은 있지만 성능에는 문제없어요.

생활 기스는 있지만 큰 기스는 없습니다. 배터리 사이클은 55회 로 사용량이 적습니다. 딸애가 쓰던 걸 팔고 업글하려고 합니다.

본체, 충전기, usb 케이블을 드리며 필요하시면 원 박스에 단아 드릴게요.",1290000
2026-03-16,macbookair,13,2020,m1,8gb,256gb,500000,맥북에어 13인치 M1칩 8GB/256GB,"2020년 M1칩 맥북에어 입니다.
13인치 8GB, 256GB 기본형이에요.
사용감은 있지만 찍힘이나 큰 문제는 없어요.
최근까지도 잘 사용하고있고 동작 잘 합니다.
배터리 효율 94%입니다.
직거래 원해요.
현재 초기화는 안되어있고 예약하시면 초기화해서 드릴게요.
충전기도 사용감있어요.
충전기, 충전케이블 같이 드리고 박스는 없어요.",1290000
2026-03-16,macbookair,13,2020,m1,8gb,512gb,480000,맥북 에어 M1 13인치 8GB / 512GB,"몇달 전 중고로 구매했습니다.

외관 테두리에 흠집 조금 나 있는거 이외에 하자 없습니다.

액정 보호필름 붙어있고, 액정은 흠집없이 깨끗합니다.

정품 케이블과 충전기 포함입니다. (사용감은 많아요)

사진에 있는 플라스틱 케이스도 같이 드립니다. (이것도 사용감은 많아요)

램8GB, 저장공간 512GB이며 배터리 효율 86%입니다.

궁금한점 있으시면 톡 주세요.

네고요청시 응답 안합니다.",1560000
2026-03-16,macbookair,13,2020,m1,8gb,256gb,460000,MacBook Air M1 13인치 실버 8GB/256GB(2020년형),"MacBook Air M1 13인치 실버 판매합니다.(2020년형)

✔ M1 칩
✔ RAM 8GB
✔ SSD 256GB
✔ 배터리 성능 최대치 90%
✔ 사이클 240회 (정상)
✔ 초기화 완료

대학생 과제 및 인강용으로 사용해서 상태 양호합니다.
외관은 눌림 없습니다.(사진 참고 바랍니다)
키보드는 shift,Enter키는 부드럽지 않습니다. 하지만 사용하시는데 지장은 없으실겁니다..

구성품:

맥북 본체

정품 애플 맥북충전기 어뎁터 보유하고 있고,충전케이블은 없습니다.

직거래, 택배거래 가능합니다.
구매 후 환불은 어려운 점 양해 부탁드립니다.",1290000
